CODE,Stock,Capacity,LoadCapacity,UnloadCapacity,Capacity_Flag,Stock_Flag
Almacen 294,0.0,0.0,500.0,500.0,M,M
Almacen 295,66.0,54.0,500.0,16.0,H,V
Almacen 296,32.0,0.0,500.0,500.0,M,V
Almacen 297,271.0,0.0,500.0,500.0,M,V
Almacen 298,316.0,0.0,500.0,500.0,M,V
Almacen 299,21827.0,46541.0,500.0,1682.0,H,H
Almacen 300,0.0,0.0,500.0,500.0,M,M
Almacen 301,587.0,0.0,500.0,500.0,M,V
Almacen 302,308.0,0.0,500.0,500.0,M,V
Almacen 303,91.0,0.0,500.0,500.0,M,V
Almacen 304,1486.0,1635.0,500.0,88.0,H,H
Almacen 305,38263.0,103288.0,500.0,706.0,H,V
Almacen 306,14320.0,32932.0,500.0,271.0,H,V
Almacen 307,369.0,406.0,500.0,76.0,H,H
Almacen 308,5693.0,2304.0,500.0,115.0,H,V
Almacen 309,1.0,2.0,500.0,1.0,H,H
Almacen 310,0.0,0.0,500.0,500.0,M,M
Almacen 311,149.0,164.0,500.0,149.0,H,H
Almacen 312,11.0,13.0,500.0,2.0,H,H
Almacen 313,1502.0,0.0,500.0,500.0,M,V
Almacen 314,6818.0,7500.0,500.0,794.0,H,H
Almacen 315,7.0,0.0,500.0,500.0,M,V
Almacen 316,2144.0,0.0,500.0,500.0,M,V
Almacen 317,4108.0,6.0,500.0,2.0,H,V
Almacen 318,27166.0,0.0,500.0,500.0,M,V
Almacen 319,135.0,149.0,500.0,8.0,H,H
Almacen 320,4.0,5.0,500.0,4.0,H,V
Almacen 321,764.0,0.0,500.0,500.0,M,V
Almacen 322,6.0,7.0,500.0,3.0,H,H
Almacen 323,2156.0,0.0,500.0,500.0,M,V
Almacen 324,1704.0,0.0,500.0,500.0,M,V
Almacen 325,278.0,0.0,500.0,500.0,M,V
Almacen 326,2290.0,0.0,500.0,500.0,M,V
Almacen 327,525861.0,0.0,500.0,500.0,M,V
Almacen 328,2168.0,0.0,500.0,500.0,M,V
Almacen 329,470.0,0.0,500.0,500.0,M,V
Almacen 330,350.0,0.0,500.0,500.0,M,V
Almacen 331,22214.0,20552.0,500.0,1295.0,H,V
Almacen 332,27168.0,21006.0,500.0,1218.0,H,V
Almacen 333,24544.0,16393.0,500.0,1187.0,H,V
Almacen 334,301.0,0.0,500.0,500.0,M,V
Almacen 335,3221.0,0.0,500.0,500.0,M,V
Almacen 336,1597.0,0.0,500.0,500.0,M,V
Almacen 337,3240.0,0.0,500.0,500.0,M,V
Almacen 338,8474.0,9322.0,500.0,731.0,H,H
Almacen 339,313.0,345.0,500.0,293.0,H,H
Almacen 340,1244.0,0.0,500.0,500.0,M,V
Almacen 341,5471.0,6019.0,500.0,622.0,H,H
Almacen 342,808.0,0.0,500.0,500.0,M,V
Almacen 343,109.0,0.0,500.0,500.0,M,V
Almacen 344,0.0,0.0,500.0,500.0,M,M
Almacen 345,575.0,0.0,500.0,500.0,M,V
Almacen 346,0.0,0.0,500.0,500.0,M,M
Almacen 347,3010.0,0.0,500.0,500.0,M,V
Almacen 348,1405.0,0.0,500.0,500.0,M,V
Almacen 349,0.0,0.0,500.0,500.0,M,M
Almacen 350,52.0,58.0,500.0,12.0,H,H
Almacen 351,99.0,109.0,500.0,99.0,H,H
Almacen 352,0.0,0.0,500.0,500.0,M,M
Almacen 353,1.0,2.0,500.0,1.0,H,H
Almacen 354,617.0,11.0,500.0,6.0,H,V
Almacen 355,3.0,725.0,500.0,188.0,H,V
Almacen 356,2831.0,574.0,500.0,187.0,H,V
Almacen 357,0.0,0.0,500.0,500.0,M,M
Almacen 358,0.0,0.0,500.0,500.0,M,M
Almacen 359,639.0,704.0,500.0,42.0,H,V
Almacen 360,8.0,9.0,500.0,5.0,H,H
Almacen 361,43.0,75.0,500.0,23.0,H,V
Almacen 362,0.0,0.0,500.0,500.0,M,M
Almacen 363,0.0,0.0,500.0,500.0,M,M
Almacen 364,41.0,48.0,500.0,14.0,H,V
Almacen 365,0.0,0.0,500.0,500.0,M,M
Almacen 366,3.0,4.0,500.0,2.0,H,V
Almacen 367,1562.0,2115.0,500.0,180.0,H,V
Almacen 368,61.0,68.0,500.0,30.0,H,H
Almacen 369,77.0,85.0,500.0,29.0,H,H
Almacen 370,18.0,20.0,500.0,7.0,H,H
Almacen 371,129.0,104.0,500.0,46.0,H,V
Almacen 372,11702.0,7825.0,500.0,120.0,H,V
Almacen 373,7034.0,4779.0,500.0,111.0,H,V
Almacen 374,6053.0,4596.0,500.0,73.0,H,V
Almacen 375,6022.0,3394.0,500.0,66.0,H,V
Almacen 376,34702.0,27365.0,500.0,486.0,H,V
Almacen 377,7682.0,5868.0,500.0,82.0,H,V
Almacen 378,13783.0,5763.0,500.0,98.0,H,V
Almacen 379,7124.0,6887.0,500.0,170.0,H,V
Almacen 380,8807.0,8027.0,500.0,132.0,H,V
Almacen 381,0.0,210.0,190.0,500.0,H,M
Almacen 382,4637.0,5101.0,500.0,40.0,H,H
Almacen 383,55.0,2222.0,7.0,114.0,V,V
